College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,AGR,35000,36
ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,CAI,35000,60
ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,CIV,35000,61
ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,CSD,35000,60
ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,CSE,35000,37
ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,ECE,35000,45
ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,EEE,35000,62
ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,MEC,35000,60
ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,KANIGIRI,PKS,AU,PVT,NA,COED,JNTUK,MIN,35000,50
ACEE,ADARSH COLLEGE OF ENGINEERING,GOLLAPROLU,EG,AU,PVT,NA,COED,JNTUK,CIV,35000,66
ACEE,ADARSH COLLEGE OF ENGINEERING,GOLLAPROLU,EG,AU,PVT,NA,COED,JNTUK,CSE,35000,64
ACEE,ADARSH COLLEGE OF ENGINEERING,GOLLAPROLU,EG,AU,PVT,NA,COED,JNTUK,ECE,35000,61
ACEE,ADARSH COLLEGE OF ENGINEERING,GOLLAPROLU,EG,AU,PVT,NA,COED,JNTUK,EEE,35000,70
ACEE,ADARSH COLLEGE OF ENGINEERING,GOLLAPROLU,EG,AU,PVT,NA,COED,JNTUK,MEC,35000,68
ACEM,ADITYA COLLEGE OF ENGINEERING,MADANAPALLE,CTR,SVU,PVT,NA,COED,JNTUA,AID,35000,15
ACEM,ADITYA COLLEGE OF ENGINEERING,MADANAPALLE,CTR,SVU,PVT,NA,COED,JNTUA,CAI,35000,20
ACEM,ADITYA COLLEGE OF ENGINEERING,MADANAPALLE,CTR,SVU,PVT,NA,COED,JNTUA,CIV,35000,36
ACEM,ADITYA COLLEGE OF ENGINEERING,MADANAPALLE,CTR,SVU,PVT,NA,COED,JNTUA,CSE,35000,24
