College Code,College Name,Branch Code,Branch Rank,Integrated Rank,Gender,Region,Caste,Seat Category,Allotment Year
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",EEE,154,1060,F,OU,BC_D,OC_GIRLS_OU,2021
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",CSE,307,3035,F,OU,BC_B,OC_GIRLS_OU,2020
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",EEE,328,1974,M,OU,BC_D,OC_GEN_OU,2021
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",MEC,351,2194,M,OU,BC_B,OC_GEN_OU,2020
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",EEE,359,1451,M,OU,BC_D,OC_GEN_OU,2020
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",CSE,418,5459,M,OU,BC_A,BC_A_GEN_OU,2020
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",MEC,419,2319,M,OU,BC_D,OC_GEN_OU,2021
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",CSE,451,4553,M,OU,BC_D,OC_GEN_OU,2020
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",EEE,474,3897,M,OU,BC_A,BC_A_GEN_OU,2023
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",EEE,518,2129,M,OU,BC_B,BC_B_GEN_OU,2020
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",EEE,619,4753,M,OU,BC_D,OC_GEN_OU,2023
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",EEE,640,4994,M,OU,BC_B,BC_B_GEN_OU,2023
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",EEE,655,5038,M,OU,SC,SC_GEN_OU,2023
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",EEE,659,3764,M,OU,BC_D,BC_D_GEN_OU,2021
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",ECE,685,2603,M,OU,BC_B,BC_B_GEN_OU,2023
AARM,"AAR MAHAVEER ENGINEERING COLLEGE, BANDLAGUDA",EEE,704,4024,M,OU,BC_B,BC_B_GEN_OU,2021
