College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,JNTUH,CSE,60000,46
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,JNTUH,CSM,60000,47
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,JNTUH,ECE,60000,46
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,JNTUH,EEE,60000,46
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,JNTUH,MEC,60000,23
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,AID,110000,46
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,AIM,110000,46
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CIV,110000,46
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSD,110000,138
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSE,110000,139
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSM,110000,139
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSO,110000,46
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,ECE,110000,92
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,EEE,110000,23
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,INF,110000,46
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,MEC,110000,24
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CIV,75000,23
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSD,75000,46
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,75000,92
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,75000,46
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,75000,46
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,75000,23
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,MEC,75000,24
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MANCHERIAL,OU,PVT,MUS,COED,KU,CSE,45000,21
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MANCHERIAL,OU,PVT,MUS,COED,KU,EEE,45000,10
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MANCHERIAL,OU,PVT,MUS,COED,KU,MIN,45000,21
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,AIM,65000,46
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,CIV,65000,47
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,CSE,65000,46
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,ECE,65000,23
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,EEE,65000,46
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,MEC,65000,23
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,MIN,65000,23
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,CIV,90000,23
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,CSE,90000,139
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,CSM,90000,92
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,ECE,90000,92
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,EEE,90000,23
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,INF,90000,70
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,MEC,90000,23
ANRP,ANURAG PHARMACY COLLEGE,KODADA,SURYAPET,OU,PVT,NA,COED,JNTUH,PHD,68000,11
ANRP,ANURAG PHARMACY COLLEGE,KODADA,SURYAPET,OU,PVT,NA,COED,JNTUH,PHM,75000,39
ANWP,ANWAR-ULOOM COLLEGE OF PHARMACY,HYDERABAD,HYDERABAD,OU,PVT,MUS,COED,OU,PHD,80000,10
ANWP,ANWAR-ULOOM COLLEGE OF PHARMACY,HYDERABAD,HYDERABAD,OU,PVT,MUS,COED,OU,PHM,85000,35
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CIV,67000,46
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,67000,47
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,67000,46
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,67000,46
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,67000,46
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CIV,60000,47
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSD,60000,46
