College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
ADBP,S.G GOVT POLYTECHNIC,ADILABAD,Adilabad,OU,GOV,NA,COED,SBTET,CE,5080,66
ADBP,S.G GOVT POLYTECHNIC,ADILABAD,Adilabad,OU,GOV,NA,COED,SBTET,CS,5080,66
ADBP,S.G GOVT POLYTECHNIC,ADILABAD,Adilabad,OU,GOV,NA,COED,SBTET,EE,5080,66
ADBP,S.G GOVT POLYTECHNIC,ADILABAD,Adilabad,OU,GOV,NA,COED,SBTET,ME,5080,66
AITH,ANNAMACHARYA INST. OF TECHNOLOGY. AND SCI.,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,SBTET,CE,15780,66
AITH,ANNAMACHARYA INST. OF TECHNOLOGY. AND SCI.,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,SBTET,CS,15780,132
AITH,ANNAMACHARYA INST. OF TECHNOLOGY. AND SCI.,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,SBTET,EC,15780,66
AITH,ANNAMACHARYA INST. OF TECHNOLOGY. AND SCI.,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,SBTET,EE,15780,66
AITH,ANNAMACHARYA INST. OF TECHNOLOGY. AND SCI.,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,SBTET,ME,15780,66
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MANCHERIAL,OU,PVT,NA,COED,SBTET,EC,15780,15
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MANCHERIAL,OU,PVT,NA,COED,SBTET,EE,15780,15
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MANCHERIAL,OU,PVT,NA,COED,SBTET,MN,15780,30
AKIT,ABDULKALAM INST. OF TECHNOLOGY AND SCI.,KOTHAGUDEM,Bhadradri Kothagudem,OU,PVT,NA,COED,SBTET,CE,15780,33
AKIT,ABDULKALAM INST. OF TECHNOLOGY AND SCI.,KOTHAGUDEM,Bhadradri Kothagudem,OU,PVT,NA,COED,SBTET,CS,15780,132
AKIT,ABDULKALAM INST. OF TECHNOLOGY AND SCI.,KOTHAGUDEM,Bhadradri Kothagudem,OU,PVT,NA,COED,SBTET,EE,15780,66
AKIT,ABDULKALAM INST. OF TECHNOLOGY AND SCI.,KOTHAGUDEM,Bhadradri Kothagudem,OU,PVT,NA,COED,SBTET,ME,15780,33
AKIT,ABDULKALAM INST. OF TECHNOLOGY AND SCI.,KOTHAGUDEM,Bhadradri Kothagudem,OU,PVT,NA,COED,SBTET,MN,15780,66
ANRK,ANURAG ENGINNERING COLLGE,KODAD,SURYAPET,OU,PVT,NA,COED,SBTET,CE,15780,33
ANRK,ANURAG ENGINNERING COLLGE,KODAD,SURYAPET,OU,PVT,NA,COED,SBTET,CS,15780,132
