College Code,College Name,Branch Code,Branch Rank,Integrated Rank,Gender,Region,Caste,Seat Category
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",MEC,1,1,M,OU,OC,OC_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,1,3,F,OU,OC,OC_GIRLS_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",EEE,1,4,F,OU,BC_E,OC_GIRLS_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CIV,1,5,M,OU,BC_D,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,1,6,F,OU,BC_B,OC_GIRLS_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CSE,2,7,M,OU,BC_B,OC_GEN_UR
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,2,8,F,OU,OC,OC_GIRLS_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CIV,2,9,F,OU,BC_E,OC_GIRLS_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",ECE,3,10,M,OU,BC_B,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,3,11,M,OU,OC,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",ECE,4,12,M,OU,OC,OC_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,5,13,M,OU,BC_D,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CIV,3,14,M,OU,OC,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",ECE,6,15,M,OU,BC_B,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CIV,4,16,M,OU,OC,OC_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",EEE,2,17,M,OU,BC_D,OC_GEN_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",MEC,3,18,M,OU,BC_D,OC_GEN_UR
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,7,19,F,OU,BC_A,OC_GEN_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,4,20,M,OU,OC,OC_GEN_UR
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CIV,5,21,M,OU,OC,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,5,22,M,OU,BC_D,BC_D_GEN_UR
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,6,23,F,OU,BC_E,OC_GIRLS_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CIV,6,24,M,OU,BC_B,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",ECE,8,25,M,OU,BC_D,BC_D_GEN_UR
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CIV,7,26,M,OU,ST,ST_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,9,27,F,OU,OC,OC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,7,28,M,OU,BC_B,BC_B_GEN_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",ECE,10,29,M,OU,OC,EWS_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,11,30,F,OU,OC,EWS_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",ECE,12,31,F,OU,OC,OC_GIRLS_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CIV,8,32,M,OU,ST,OC_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,13,33,F,OU,BC_B,BC_B_GEN_OU
KITS,"KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI, WARANGAL",CIV,9,34,F,OU,BC_E,OC_GIRLS_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,8,35,M,OU,BC_D,OC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CIV,10,36,M,OU,BC_E,OC_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,14,37,F,OU,BC_B,BC_B_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,15,38,F,OU,BC_D,BC_D_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,16,39,F,OU,BC_D,BC_D_GIRLS_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,9,40,M,OU,BC_A,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,10,41,F,OU,BC_D,OC_GIRLS_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CIV,11,42,F,OU,BC_B,BC_B_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",MEC,4,43,M,OU,BC_D,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CIV,12,44,M,OU,BC_B,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",EEE,3,45,M,OU,BC_B,OC_GEN_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",MEC,5,46,M,OU,BC_E,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,11,47,M,OU,BC_B,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",ECE,17,48,F,OU,BC_B,BC_B_GEN_UR
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",ECE,18,49,M,OU,BC_D,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",ECE,19,50,F,OU,OC,EWS_GIRLS_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,12,51,F,OU,BC_B,OC_GIRLS_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,20,52,M,OU,BC_D,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSM,13,53,M,OU,BC_B,OC_GEN_UR
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,14,54,M,OU,BC_A,BC_A_GEN_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,15,55,M,OU,BC_E,OC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,21,56,F,OU,BC_B,BC_B_CAP_GIRLS_UR(0)
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,16,57,M,OU,OC,OC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,17,58,M,OU,BC_D,OC_GEN_OU
