Institute Code,Institute Name,Place,District Name,Region,College,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,JNTUH,CSE,60000,6
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,JNTUH,CSM,60000,7
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,JNTUH,ECE,60000,6
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,JNTUH,EEE,60000,7
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYDERABAD,OU,PVT,NA,COED,JNTUH,MEC,60000,7
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CIV,110000,6
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSD,110000,13
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSE,110000,20
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSM,110000,20
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSO,110000,7
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,ECE,110000,13
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,EEE,110000,3
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,INF,110000,7
ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,MEC,110000,3
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CIV,75000,3
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,75000,13
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,75000,7
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,75000,6
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,75000,4
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,MEC,75000,3
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MANCHERIAL,OU,PVT,MUS,COED,KU,CSE,45000,3
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MANCHERIAL,OU,PVT,MUS,COED,KU,EEE,45000,2
AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,MANCHERIAL,MANCHERIAL,OU,PVT,MUS,COED,KU,MIN,45000,3
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,AIM,65000,6
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,CIV,65000,7
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,CSE,65000,6
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,ECE,65000,4
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,EEE,65000,6
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,MEC,65000,4
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,BHADRADRI KOTHAGUDEM,OU,PVT,NA,COED,JNTUH,MIN,65000,3
